iter	Logloss
0	0.6820235548
1	0.663452492
2	0.6490989241
3	0.6337043233
4	0.6180584247
5	0.6086310124
6	0.5939016145
7	0.5814048667
8	0.5699745736
9	0.5595760954
10	0.5500948049
11	0.5379781812
12	0.5279664117
13	0.5205801271
14	0.5119543022
15	0.5040083951
16	0.4937327315
17	0.4861008177
18	0.4794685407
19	0.469058239
20	0.4606434319
21	0.4553574782
22	0.4454126412
23	0.4361876869
24	0.4313473013
25	0.4246405911
26	0.4180682041
27	0.4114835356
28	0.404580322
29	0.3994479868
30	0.3925210405
31	0.3852781256
32	0.3793507875
33	0.3745133792
34	0.3687661978
35	0.3652426772
36	0.3613724986
37	0.3563363539
38	0.3520799819
39	0.3471377088
40	0.3437400088
41	0.3396660552
42	0.3352060229
43	0.3315363557
44	0.3270472657
45	0.3239353888
46	0.319363077
47	0.3162033052
48	0.3131576166
49	0.3101301641
50	0.3071832424
51	0.3030234904
52	0.3001285574
53	0.297249055
54	0.2948845439
55	0.292478064
56	0.2897789188
57	0.287035858
58	0.2851943827
59	0.2833821366
60	0.2808526417
61	0.2791153727
62	0.2767749951
63	0.2750233262
64	0.2726716691
65	0.2704811883
66	0.268311921
67	0.2661460032
68	0.2634918041
69	0.2615681088
70	0.2586735194
71	0.256693484
72	0.2549427025
73	0.2534018797
74	0.2519303656
75	0.2502748872
76	0.2484345284
77	0.2469246526
78	0.245502064
79	0.2440699708
80	0.2424391412
81	0.2413102198
82	0.2400545045
83	0.2385779089
84	0.237228551
85	0.2357441543
86	0.2336286219
87	0.2324163927
88	0.2309020653
89	0.2302300487
90	0.2290532611
91	0.2279677543
92	0.2267084175
93	0.2256008384
94	0.2239668741
95	0.2226122056
96	0.221215139
97	0.2199215486
98	0.2188503273
99	0.2175195776
100	0.2159516297
101	0.2145616771
102	0.2136850124
103	0.2124961152
104	0.2115833791
105	0.2106627273
106	0.2094324624
107	0.2085298892
108	0.2075131472
109	0.2061755125
110	0.2057175341
111	0.2047712602
112	0.203331194
113	0.2022964019
114	0.2013256366
115	0.2003605254
116	0.1993751168
117	0.1983347852
118	0.1975327826
119	0.1971006841
120	0.1960742371
121	0.1952987156
122	0.1947077166
123	0.1938034831
124	0.1928687749
125	0.1919688642
126	0.1912906496
127	0.1909064316
128	0.1900881969
129	0.1894612124
130	0.1887511921
131	0.1883904205
132	0.1874488559
133	0.1868095756
134	0.1861380171
135	0.1853338245
136	0.1846271107
137	0.1839229161
138	0.1832801289
139	0.1825659718
140	0.1819799541
141	0.1812847774
142	0.1806974429
143	0.1801911402
144	0.1795599331
145	0.1789132238
146	0.1785796489
147	0.1780787427
148	0.1774426688
149	0.1767478929
150	0.1760867121
151	0.1754136649
152	0.1748619581
153	0.1744299168
154	0.1738596446
155	0.1733164832
156	0.1727587644
157	0.1720095808
158	0.1717021148
159	0.1712233237
160	0.1707320652
161	0.1701089025
162	0.1697852043
163	0.1695068817
164	0.1691588497
165	0.1685612233
166	0.1679895054
167	0.167496615
168	0.1670333834
169	0.1665984649
170	0.1660734824
171	0.1657028628
172	0.1651994086
173	0.1647748536
174	0.1642008311
175	0.163747104
176	0.1632040571
177	0.1626377786
178	0.1621583291
179	0.1616000807
180	0.1612611667
181	0.1608991211
182	0.1603494183
183	0.159997321
184	0.1595743834
185	0.1591352853
186	0.1588020826
187	0.1585389901
188	0.1581362783
189	0.1576407399
190	0.1573889126
191	0.1570843666
192	0.1566742974
193	0.156119742
194	0.1557561506
195	0.1553076767
196	0.155007425
197	0.1546283314
198	0.1542222701
199	0.1538107122
200	0.1534240608
201	0.1528769058
202	0.1524224201
203	0.1521174447
204	0.151648831
205	0.1514755449
206	0.1511854562
207	0.1509553147
208	0.1506764195
209	0.1502672378
210	0.1498721697
211	0.1496088196
212	0.1493707338
213	0.149081919
214	0.1488404122
215	0.1483789841
216	0.1479546295
217	0.1476958885
218	0.1473497888
219	0.1470506106
220	0.1469160012
221	0.1464870947
222	0.1461658871
223	0.1459108392
224	0.145557697
225	0.1453894925
226	0.1450050454
227	0.1446909377
228	0.1445098505
229	0.1442178866
230	0.1439319489
231	0.1436027255
232	0.1432983513
233	0.1430959505
234	0.1429012792
235	0.1426444564
236	0.1424386058
237	0.1421453537
238	0.1419271788
239	0.1416283727
240	0.141310257
241	0.1410020037
242	0.140558912
243	0.140227155
244	0.1399927622
245	0.1396403357
246	0.1393790039
247	0.1390747013
248	0.1388264096
249	0.1385027687
250	0.1382487227
251	0.1379251104
252	0.1377399008
253	0.1375558077
254	0.1372296475
255	0.1370028984
256	0.1366272116
257	0.1363790201
258	0.1361712085
259	0.1359174345
260	0.1355920044
261	0.1354013411
262	0.1351422709
263	0.1349029541
264	0.1346848651
265	0.1344610218
266	0.1341818117
267	0.1339223264
268	0.1336368181
269	0.1335229212
270	0.1333884406
271	0.1332219394
272	0.1329696111
273	0.1326314701
274	0.1323852539
275	0.1322173929
276	0.1320194724
277	0.1317701501
278	0.1315502288
279	0.1313960521
280	0.1313058449
281	0.1311262177
282	0.1310102309
283	0.1307183386
284	0.1305586079
285	0.130303102
286	0.1299660631
287	0.1298433486
288	0.1296487919
289	0.1294837508
290	0.1292326822
291	0.1291537687
292	0.1289555333
293	0.1287947148
294	0.1286375608
295	0.1284044276
296	0.1282627328
297	0.1281975322
298	0.1279831076
299	0.1278487129
300	0.1277193567
301	0.1275112159
302	0.1274302413
303	0.1272619222
304	0.1270314372
305	0.1268424344
306	0.1266353672
307	0.1264080169
308	0.1261011521
309	0.1259885863
310	0.1257914817
311	0.125604855
312	0.1253689736
313	0.125118864
314	0.1249411978
315	0.1247336583
316	0.1245674863
317	0.1244644823
318	0.1241967235
319	0.12407806
320	0.1238099003
321	0.1235316493
322	0.1233434623
323	0.1230912486
324	0.1230084704
325	0.1228303319
326	0.1226172528
327	0.1223783368
328	0.1221758071
329	0.1219274725
330	0.1216563069
331	0.1215237015
332	0.1214299157
333	0.1213813767
334	0.1211954371
335	0.1210730805
336	0.1209020275
337	0.1208968601
338	0.1207214699
339	0.1206393072
340	0.1204362193
341	0.1203165251
342	0.120072363
343	0.1200063179
344	0.1198349643
345	0.1197806353
346	0.1195849907
347	0.119457295
348	0.1193121361
349	0.1190467963
350	0.1189051444
351	0.1188060338
352	0.1186023662
353	0.1183452857
354	0.1181872155
355	0.1180176511
356	0.117977672
357	0.1177798516
358	0.1177246351
359	0.1176319373
360	0.1174504636
361	0.1173027353
362	0.1171931326
363	0.1171235877
364	0.1170293797
365	0.116912942
366	0.1168090434
367	0.1166230679
368	0.1164865404
369	0.1163823913
370	0.1162273629
371	0.1161787094
372	0.1159974003
373	0.1159466999
374	0.1158177231
375	0.1155368884
376	0.1152949521
377	0.1151077814
378	0.1149390115
379	0.1148410246
380	0.1146966244
381	0.1146136171
382	0.1144873242
383	0.1143296261
384	0.1141524896
385	0.1140530642
386	0.1139549699
387	0.1139238583
388	0.1138546498
389	0.1137749706
390	0.1136704207
391	0.1135179187
392	0.1134507571
393	0.1132711729
394	0.1130709192
395	0.1129057779
396	0.1127895477
397	0.1127359057
398	0.1126006951
399	0.11250721
400	0.112348009
401	0.1121905615
402	0.1120355545
403	0.1118822223
404	0.1117600303
405	0.111674146
406	0.1114535448
407	0.1114279226
408	0.1113565957
409	0.1113251763
410	0.1111668699
411	0.1110464529
412	0.1109014515
413	0.1108113301
414	0.1106204378
415	0.1105633748
416	0.110365075
417	0.1102159081
418	0.110112167
419	0.1100734761
420	0.1099408491
421	0.1098949869
422	0.1097641564
423	0.1097478312
424	0.1096969948
425	0.1095387958
426	0.1093200769
427	0.1092756318
428	0.109240777
429	0.1091744027
430	0.1091307592
431	0.1090888905
432	0.1089780997
433	0.1088481567
434	0.1087006932
435	0.1085982332
436	0.1085740352
437	0.1084966606
